status,stockNo,nPtr,lDate,lTimehms,lTimemillismicros,nBid,nAsk,nClose,nQty,nSimulate,addSubNQty
history,MTX00,94487,20220426,83005,0,0,0,1662800,10,1,+10
history,MTX00,94488,20220426,83010,0,1662800,1665600,1663000,11,1,#11
history,MTX00,94489,20220426,83015,0,1663000,1663900,1663900,12,1,+12
history,MTX00,94490,20220426,83020,0,1663100,1665600,1665800,14,1,+14
history,MTX00,94491,20220426,83025,0,1663300,1665800,1665800,15,1,+15
history,MTX00,94492,20220426,83030,0,1663900,1665800,1665800,15,1,+15
history,MTX00,94493,20220426,83035,0,1663900,1665800,1665000,15,1,#15
history,MTX00,94494,20220426,83040,0,1665000,1665600,1665000,16,1,-16
history,MTX00,94495,20220426,83045,0,1665000,1665600,1665000,16,1,-16
history,MTX00,94496,20220426,83050,0,1665000,1665500,1665500,18,1,+18
history,MTX00,94497,20220426,83055,0,1665000,1665600,1665300,17,1,#17
history,MTX00,94498,20220426,83100,0,1665300,1665500,1659600,110,1,-110
history,MTX00,94499,20220426,83105,0,1659600,1660000,1659700,110,1,#110
history,MTX00,94500,20220426,83110,0,1659700,1660000,1659600,111,1,-111
history,MTX00,94501,20220426,83115,0,1659600,1660000,1659600,116,1,-116
history,MTX00,94502,20220426,83120,0,1659600,1660000,1659700,120,1,#120
history,MTX00,94503,20220426,83125,0,1659700,1660000,1660000,127,1,+127
history,MTX00,94504,20220426,83130,0,1660000,1661900,1660300,126,1,#126
history,MTX00,94505,20220426,83135,0,1660300,1661900,1660000,128,1,-128
history,MTX00,94506,20220426,83140,0,1660000,1660500,1660000,128,1,-128
history,MTX00,94507,20220426,83145,0,1660000,1660500,1660000,128,1,-128
history,MTX00,94508,20220426,83150,0,1660000,1660500,1660000,128,1,-128
history,MTX00,94509,20220426,83155,0,1660000,1660500,1660000,128,1,-128
history,MTX00,94510,20220426,83200,0,1660000,1660500,1660000,128,1,-128
history,MTX00,94511,20220426,83205,0,1660000,1660500,1660000,128,1,-128
history,MTX00,94512,20220426,83210,0,1660000,1660500,1660000,128,1,-128
history,MTX00,94513,20220426,83215,0,1660000,1660600,1660000,128,1,-128
history,MTX00,94514,20220426,83220,0,1660000,1660700,1660000,128,1,-128
history,MTX00,94515,20220426,83225,0,1660000,1660700,1660000,129,1,-129
history,MTX00,94516,20220426,83230,0,1660000,1660700,1660000,129,1,-129
history,MTX00,94517,20220426,83235,0,1660000,1660600,1660000,129,1,-129
history,MTX00,94518,20220426,83240,0,1660000,1660200,1660000,129,1,-129
history,MTX00,94519,20220426,83245,0,1660000,1660100,1660000,129,1,-129
history,MTX00,94520,20220426,83250,0,1660000,1660100,1660000,130,1,-130
history,MTX00,94521,20220426,83255,0,1660000,1660100,1660000,130,1,-130
history,MTX00,94522,20220426,83300,0,1660000,1660100,1660000,133,1,-133
history,MTX00,94523,20220426,83305,0,1660000,1660100,1660000,134,1,-134
history,MTX00,94524,20220426,83310,0,1660000,1660100,1660000,134,1,-134
history,MTX00,94525,20220426,83315,0,1660000,1660100,1660000,134,1,-134
history,MTX00,94526,20220426,83320,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94527,20220426,83325,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94528,20220426,83330,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94529,20220426,83335,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94530,20220426,83340,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94531,20220426,83345,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94532,20220426,83350,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94533,20220426,83355,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94534,20220426,83400,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94535,20220426,83405,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94536,20220426,83410,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94537,20220426,83415,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94538,20220426,83420,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94539,20220426,83425,0,1660000,1660100,1660000,135,1,-135
history,MTX00,94540,20220426,83430,0,1660000,1660100,1660000,140,1,-140
history,MTX00,94541,20220426,83435,0,1660000,1660100,1660000,140,1,-140
history,MTX00,94542,20220426,83440,0,1660000,1660100,1660000,140,1,-140
history,MTX00,94543,20220426,83445,0,1660000,1660100,1660000,140,1,-140
history,MTX00,94544,20220426,83450,0,1660000,1660100,1660000,140,1,-140
history,MTX00,94545,20220426,83455,0,1660000,1660100,1660100,141,1,+141
history,MTX00,94546,20220426,83500,0,1660100,1660200,1660100,141,1,-141
history,MTX00,94547,20220426,83505,0,1660100,1660200,1660100,140,1,-140
history,MTX00,94548,20220426,83510,0,1660100,1660200,1660100,140,1,-140
history,MTX00,94549,20220426,83515,0,1660100,1660200,1660200,136,1,+136
history,MTX00,94550,20220426,83520,0,1660200,1660300,1660200,136,1,-136
history,MTX00,94551,20220426,83525,0,1660200,1660300,1660200,136,1,-136
