status,stockNo,nPtr,lDate,lTimehms,lTimemillismicros,nBid,nAsk,nClose,nQty,nSimulate,addSubNQty
history,TX00,31591,20220422,83005,0,0,0,1691000,15,1,+15
history,TX00,31592,20220422,83010,0,1690800,1695000,1690000,31,1,-31
history,TX00,31593,20220422,83015,0,1689900,1695000,1691500,33,1,#33
history,TX00,31594,20220422,83020,0,1691500,1694300,1688800,47,1,-47
history,TX00,31595,20220422,83025,0,1688800,1689900,1688800,47,1,-47
history,TX00,31596,20220422,83030,0,1688800,1689900,1688800,48,1,-48
history,TX00,31597,20220422,83035,0,1688800,1689900,1689800,58,1,#58
current,TX00,31598,20220422,83040,0,1688800,1689900,1690100,51,1,+51
current,TX00,31599,20220422,83045,0,1690000,1695000,1690000,52,1,-52
current,TX00,31600,20220422,83050,0,1690000,1695000,1690000,58,1,-58
current,TX00,31601,20220422,83055,0,1690000,1690100,1688800,67,1,-67
current,TX00,31602,20220422,83100,0,1688800,1689900,1688800,67,1,-67
current,TX00,31603,20220422,83105,0,1688800,1689900,1670000,118,1,-118
current,TX00,31604,20220422,83110,0,1668800,1670000,1670000,123,1,+123
current,TX00,31605,20220422,83115,0,1668800,1670000,1670000,140,1,+140
current,TX00,31606,20220422,83120,0,1668800,1670000,1670000,142,1,+142
current,TX00,31607,20220422,83125,0,1669500,1670000,1670000,149,1,+149
current,TX00,31608,20220422,83130,0,1669500,1670000,1670000,154,1,+154
current,TX00,31609,20220422,83135,0,1669500,1670000,1670000,160,1,+160
current,TX00,31610,20220422,83140,0,1669500,1670000,1670000,161,1,+161
current,TX00,31611,20220422,83145,0,1670000,1680000,1673300,156,1,#156
current,TX00,31612,20220422,83150,0,1672900,1680000,1677500,157,1,#157
current,TX00,31613,20220422,83155,0,1677300,1680000,1677500,157,1,#157
current,TX00,31614,20220422,83200,0,1677300,1680000,1670000,178,1,-178
current,TX00,31615,20220422,83205,0,1669500,1670000,1670000,178,1,+178
current,TX00,31616,20220422,83210,0,1669500,1670000,1670000,181,1,+181
current,TX00,31617,20220422,83215,0,1669500,1670000,1670000,186,1,+186
current,TX00,31618,20220422,83220,0,1669500,1670000,1670000,187,1,+187
current,TX00,31619,20220422,83225,0,1669500,1670000,1670000,188,1,+188
current,TX00,31620,20220422,83230,0,1669500,1670000,1670000,188,1,+188
current,TX00,31621,20220422,83235,0,1669500,1670000,1670000,194,1,+194
current,TX00,31622,20220422,83240,0,1670000,1678700,1670000,194,1,-194
current,TX00,31623,20220422,83245,0,1670000,1680000,1670000,199,1,-199
current,TX00,31624,20220422,83250,0,1670000,1680000,1670000,197,1,-197
current,TX00,31625,20220422,83255,0,1670000,1677700,1670000,197,1,-197
current,TX00,31626,20220422,83300,0,1670000,1677700,1670000,197,1,-197
current,TX00,31627,20220422,83305,0,1670000,1677700,1672200,197,1,#197
current,TX00,31628,20220422,83310,0,1671500,1677700,1673300,197,1,#197
current,TX00,31629,20220422,83315,0,1672900,1677700,1673700,197,1,#197
current,TX00,31630,20220422,83320,0,1673300,1677700,1670000,226,1,-226
current,TX00,31631,20220422,83325,0,1669500,1670000,1670000,231,1,+231
current,TX00,31632,20220422,83330,0,1669500,1670000,1670000,235,1,+235
current,TX00,31633,20220422,83335,0,1669500,1670000,1670000,232,1,+232
current,TX00,31634,20220422,83340,0,1670000,1680000,1670000,232,1,-232
current,TX00,31635,20220422,83345,0,1670000,1680000,1670000,232,1,-232
current,TX00,31636,20220422,83350,0,1670000,1671700,1670000,232,1,-232
current,TX00,31637,20220422,83355,0,1670000,1671700,1670000,232,1,-232
current,TX00,31638,20220422,83400,0,1670000,1671700,1670000,232,1,-232
current,TX00,31639,20220422,83405,0,1670000,1671700,1670000,232,1,-232
current,TX00,31640,20220422,83410,0,1670000,1671700,1670000,233,1,-233
current,TX00,31641,20220422,83415,0,1670000,1671700,1670000,233,1,-233
current,TX00,31642,20220422,83420,0,1670000,1680000,1670000,233,1,-233
current,TX00,31643,20220422,83425,0,1670000,1680000,1670700,234,1,#234
current,TX00,31644,20220422,83430,0,1670200,1680000,1670000,234,1,-234
current,TX00,31645,20220422,83435,0,1670000,1680000,1670200,234,1,#234
current,TX00,31646,20220422,83440,0,1670100,1680000,1670200,234,1,#234
current,TX00,31647,20220422,83445,0,1670100,1680000,1670200,234,1,#234
current,TX00,31648,20220422,83450,0,1670100,1680000,1670200,234,1,#234
current,TX00,31649,20220422,83455,0,1670200,1680000,1670200,234,1,-234
current,TX00,31650,20220422,83500,0,1670200,1680000,1670100,236,1,-236
current,TX00,31651,20220422,83505,0,1670100,1680000,1670200,235,1,#235
current,TX00,31652,20220422,83510,0,1670200,1680000,1670000,265,1,-265
current,TX00,31653,20220422,83515,0,1670000,1670600,1670000,285,1,-285
current,TX00,31654,20220422,83520,0,1670000,1670600,1670000,285,1,-285
current,TX00,31655,20220422,83525,0,1670000,1670600,1670000,285,1,-285
current,TX00,31656,20220422,83530,0,1670000,1670600,1670000,285,1,-285
current,TX00,31657,20220422,83535,0,1670000,1680000,1670000,285,1,-285
current,TX00,31658,20220422,83540,0,1670000,1680000,1670000,285,1,-285
current,TX00,31659,20220422,83545,0,1670000,1680000,1670100,293,1,#293
current,TX00,31660,20220422,83550,0,1670000,1680000,1670100,293,1,#293
current,TX00,31661,20220422,83555,0,1670000,1680000,1670000,299,1,-299
current,TX00,31662,20220422,83600,0,1670000,1680000,1670100,297,1,#297
current,TX00,31663,20220422,83605,0,1670100,1680000,1670100,300,1,-300
current,TX00,31664,20220422,83610,0,1670100,1680000,1670100,300,1,-300
current,TX00,31665,20220422,83615,0,1670100,1680000,1670100,300,1,-300
current,TX00,31666,20220422,83620,0,1670100,1680000,1670100,300,1,-300
current,TX00,31667,20220422,83625,0,1670100,1677400,1670100,300,1,-300
current,TX00,31668,20220422,83630,0,1670100,1677400,1670100,300,1,-300
current,TX00,31669,20220422,83635,0,1670100,1677400,1670100,310,1,-310
current,TX00,31670,20220422,83640,0,1670100,1677400,1670100,310,1,-310
current,TX00,31671,20220422,83645,0,1670100,1677400,1670100,310,1,-310
current,TX00,31672,20220422,83650,0,1670100,1677400,1670100,310,1,-310
current,TX00,31673,20220422,83655,0,1670100,1677400,1670100,310,1,-310
current,TX00,31674,20220422,83700,0,1670100,1680000,1670100,310,1,-310
current,TX00,31675,20220422,83705,0,1670100,1680000,1670100,310,1,-310
current,TX00,31676,20220422,83710,0,1670100,1680000,1670100,310,1,-310
current,TX00,31677,20220422,83715,0,1670100,1680000,1670100,310,1,-310
current,TX00,31678,20220422,83720,0,1670100,1680000,1670100,310,1,-310
current,TX00,31679,20220422,83725,0,1670100,1680000,1670100,311,1,-311
current,TX00,31680,20220422,83730,0,1670100,1680000,1670100,311,1,-311
current,TX00,31681,20220422,83735,0,1670100,1680000,1670200,310,1,#310
current,TX00,31682,20220422,83740,0,1670200,1680000,1670200,310,1,-310
current,TX00,31683,20220422,83745,0,1670200,1680000,1670200,310,1,-310
current,TX00,31684,20220422,83750,0,1670200,1680000,1670200,310,1,-310
current,TX00,31685,20220422,83755,0,1670200,1680000,1670500,309,1,#309
current,TX00,31686,20220422,83800,0,1670400,1677400,1670500,309,1,#309
current,TX00,31687,20220422,83805,0,1670400,1677400,1670500,309,1,#309
current,TX00,31688,20220422,83810,0,1670400,1680000,1670500,309,1,#309
current,TX00,31689,20220422,83815,0,1670400,1680000,1670500,309,1,#309
current,TX00,31690,20220422,83820,0,1670500,1680000,1670500,309,1,-309
current,TX00,31691,20220422,83825,0,1670500,1680000,1671200,309,1,#309
current,TX00,31692,20220422,83830,0,1671200,1680000,1672100,308,1,#308
current,TX00,31693,20220422,83835,0,1672100,1680000,1672200,308,1,#308
current,TX00,31694,20220422,83840,0,1672100,1680000,1672200,308,1,#308
current,TX00,31695,20220422,83845,0,1672100,1680000,1672300,310,1,#310
current,TX00,31696,20220422,83850,0,1672200,1680000,1672500,310,1,#310
current,TX00,31697,20220422,83855,0,1672300,1680000,1672600,311,1,#311
current,TX00,31698,20220422,83900,0,1672500,1680000,1673000,311,1,#311
current,TX00,31699,20220422,83905,0,1673000,1680000,1673300,311,1,#311
current,TX00,31700,20220422,83910,0,1673200,1680000,1673300,311,1,#311
current,TX00,31701,20220422,83915,0,1673300,1680000,1673300,311,1,-311
current,TX00,31702,20220422,83920,0,1673300,1680000,1673300,311,1,-311
current,TX00,31703,20220422,83925,0,1673300,1679000,1673300,311,1,-311
current,TX00,31704,20220422,83930,0,1673300,1679000,1673500,311,1,#311
current,TX00,31705,20220422,83935,0,1673300,1679000,1673700,311,1,#311
current,TX00,31706,20220422,83940,0,1673500,1679000,1673500,311,1,-311
current,TX00,31707,20220422,83945,0,1673300,1679000,1673500,311,1,#311
current,TX00,31708,20220422,83950,0,1673300,1679000,1673500,312,1,#312
current,TX00,31709,20220422,83955,0,1673500,1679000,1674000,312,1,#312
current,TX00,31710,20220422,84000,0,1673700,1679000,1674200,312,1,#312
current,TX00,31711,20220422,84005,0,1674000,1679000,1674200,312,1,#312
current,TX00,31712,20220422,84010,0,1674200,1679000,1674500,312,1,#312
current,TX00,31713,20220422,84015,0,1674200,1679000,1673200,331,1,-331
current,TX00,31714,20220422,84020,0,1673200,1673500,1673200,331,1,-331
current,TX00,31715,20220422,84025,0,1673200,1673500,1673300,331,1,#331
current,TX00,31716,20220422,84030,0,1673200,1673500,1673400,331,1,#331
current,TX00,31717,20220422,84035,0,1673300,1673500,1673700,332,1,+332
current,TX00,31718,20220422,84040,0,1673500,1679000,1673700,332,1,#332
current,TX00,31719,20220422,84045,0,1673500,1679000,1673500,332,1,-332
current,TX00,31720,20220422,84050,0,1673500,1679000,1674000,332,1,#332
current,TX00,31721,20220422,84055,0,1673700,1679000,1673700,332,1,-332
current,TX00,31722,20220422,84100,0,1673700,1679000,1674100,332,1,#332
current,TX00,31723,20220422,84105,0,1674000,1679000,1675000,322,1,#322
current,TX00,31724,20220422,84110,0,1675000,1679000,1674200,332,1,-332
current,TX00,31725,20220422,84115,0,1674200,1679000,1675000,336,1,#336
current,TX00,31726,20220422,84120,0,1675000,1679000,1675000,341,1,-341
current,TX00,31727,20220422,84125,0,1675000,1679000,1675000,341,1,-341
current,TX00,31728,20220422,84130,0,1675000,1679000,1675000,342,1,-342
current,TX00,31729,20220422,84135,0,1675000,1679000,1675000,347,1,-347
